time_utc,2m_temperature,2m_dewpoint_temperature,maximum_2m_temperature_since_previous_post_processing,minimum_2m_temperature_since_previous_post_processing,surface_pressure,mean_sea_level_pressure,10m_u_component_of_wind,10m_v_component_of_wind,10m_wind_gust_since_previous_post_processing,total_precipitation,convective_precipitation,large_scale_precipitation,mean_total_precipitation_rate,total_column_water_vapour,total_cloud_cover,geopotential,convective_available_potential_energy,precip_rate_mm_per_hr,precip_1h,precip_3h,precip_6h,wind_speed_10m,wind_dir_10m_deg,wind_gust_10m,wind_gust_dir_deg,morning_temp,afternoon_temp,daily_min_temp,daily_max_temp,morning_rh,afternoon_rh,daily_rh_min,daily_rh_max,dewpoint_depression_c,station_lat,station_lon,time_local,label
2022-07-02 02:00:00,280.42865,274.26654,278.14484,276.68726,55844.062,101383.07,-0.525073,-0.33210725,4.3616004,0.00038265163,5.085132e-08,3.4734452e-07,1.0490083e-07,8.550389,0.3920947,48655.01,13.177043,1.0490083e-07,0.0003826516331173,0.0101866470067761,0.0697947227745316,0.6212864633662607,57.68675770785296,4.3616004,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,6.1621094,34.17,77.38,2022-07-02 07:30:00+05:30,1
2022-07-02 03:00:00,281.91437,274.0525,280.28287,278.55588,55850.688,101238.34,-0.5815453,-0.37756008,4.640038,6.1016413e-05,3.0142328e-08,2.4529447e-08,1.5856967e-08,8.465822,0.3332861,48655.01,25.670013,1.5856967e-08,6.101641338318586e-05,0.0022950412821955,0.0518106695380993,0.6933588836410092,57.006919979415045,4.640038,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,7.8618774,34.17,77.38,2022-07-02 08:30:00+05:30,1
2022-07-02 04:00:00,283.10748,273.6445,282.43137,280.70966,55843.336,101049.63,-0.61577916,-0.32478064,5.3094172,0.0073964456,7.4506397e-06,2.4238755e-09,2.0652817e-06,8.443547,0.25961134,48655.01,44.50636,2.0652817e-06,0.0073964456096291,0.0078401136561296,0.0344813576084561,0.6961798917942524,62.19147339754227,5.3094172,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,9.462982,34.17,77.38,2022-07-02 09:30:00+05:30,1
2022-07-02 05:00:00,286.34866,273.43228,284.20798,282.82587,55833.26,100876.4,-0.5303433,-0.12196435,5.5902696,0.057334818,5.7375382e-05,2.4238755e-09,1.5935195e-05,8.483588,0.20726527,48655.01,88.19892,1.5935195e-05,0.0573348179459571,0.0647922799689695,0.0749789269757457,0.5441868359283378,77.04873431288149,5.5902696,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,12.916382,34.17,77.38,2022-07-02 10:30:00+05:30,1
2022-07-02 06:00:00,287.72556,272.36917,285.59302,284.518,55827.688,100767.35,-0.2965341,0.16424496,5.648268,0.07928825,7.888262e-05,3.9378685e-07,2.2015047e-05,8.550668,0.3991428,48655.01,158.688,2.2015047e-05,0.0792882516980171,0.1440195152536034,0.146314556535799,0.3389821170793278,118.98128962179806,5.648268,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,15.356384,34.17,77.38,2022-07-02 11:30:00+05:30,1
2022-07-02 07:00:00,288.07718,271.83395,285.6808,284.53046,55808.15,100651.2,0.31984642,0.0080846,5.611527,0.14047891,0.0001372484,3.2154578e-06,3.902056e-05,8.7198,0.5224014,48655.01,247.27,3.902056e-05,0.1404789090156555,0.2771019786596298,0.2849420923157595,0.3199485803821806,268.5520712178233,5.611527,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,16.243225,34.17,77.38,2022-07-02 12:30:00+05:30,1
2022-07-02 08:00:00,289.17664,271.66263,286.37534,285.677,55745.84,100480.21,0.80240244,-0.42006925,6.4845037,0.13981749,0.00013626018,3.6367112e-06,3.884872e-05,9.006466,0.61442035,48655.01,329.39822,3.884872e-05,0.1398174911737442,0.3595846518874168,0.4243769318563863,0.9057084758118358,297.6327059976944,6.4845037,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,17.514008,34.17,77.38,2022-07-02 13:30:00+05:30,1
2022-07-02 09:00:00,289.61844,270.82776,286.71976,286.2528,55739.28,100443.74,0.97394675,-0.7263314,7.577117,0.2209777,0.00021598175,5.0265994e-06,6.138086e-05,9.135995,0.5890691,48655.01,340.79117,6.138086e-05,0.2209776937961578,0.5012740939855576,0.645293609239161,1.2149607373754103,306.7141365618904,7.577117,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,18.79068,34.17,77.38,2022-07-02 14:30:00+05:30,1
2022-07-02 10:00:00,286.9999,273.12885,286.89017,285.94202,55721.215,100346.555,0.80028033,-0.6354577,8.611565,0.40938458,0.000393209,1.6180236e-05,0.00011373347,8.971141,0.5363885,48655.01,260.24057,0.00011373347,0.4093845784664154,0.7701797634363174,1.0472817420959473,1.021888003760119,308.45111688810704,8.611565,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,13.871063,34.17,77.38,2022-07-02 15:30:00+05:30,1
2022-07-02 11:00:00,287.0204,272.5391,286.39166,285.8949,55672.074,100259.85,0.8741909,-0.7314984,8.456853,0.25193748,0.00020870235,4.3218806e-05,6.996131e-05,8.947336,0.46914557,48655.01,261.6488,6.996131e-05,0.2519374787807464,0.8822997510433197,1.2418844029307363,1.1398682883899092,309.92164667866035,8.456853,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,14.481293,34.17,77.38,2022-07-02 16:30:00+05:30,1
2022-07-02 12:00:00,286.83807,271.68164,286.09406,285.6154,55703.46,100326.4,0.8239288,-0.5647352,7.838055,0.24520737,0.00017817863,6.7022345e-05,6.8130474e-05,8.770743,0.49332038,48655.01,185.50844,6.8130474e-05,0.2452073693275451,0.906529426574707,1.4078035205602646,0.998891606029764,304.4274203558107,7.838055,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,15.156433,34.17,77.38,2022-07-02 17:30:00+05:30,1
2022-07-02 13:00:00,286.88968,271.3383,285.61874,285.13232,55683.613,100332.48,0.7733282,-0.25031653,7.2094812,0.15151122,0.00011723524,3.4264274e-05,4.2082298e-05,8.6250105,0.37211847,48655.01,177.53026,4.2082298e-05,0.1515112221240997,0.6486560702323914,1.4188358336687088,0.8128313768955986,287.93610976508603,7.2094812,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,15.551392,34.17,77.38,2022-07-02 18:30:00+05:30,1
2022-07-02 14:00:00,285.5201,272.87506,285.01648,284.07657,55716.977,100450.85,0.65823233,0.045445807,6.6213236,0.050983492,4.2836582e-05,8.126898e-06,1.4159947e-05,8.522038,0.3125835,48655.01,175.52505,1.4159947e-05,0.0509834922850132,0.4477020837366581,1.3300018347799778,0.6597993053468016,266.0504410789241,6.6213236,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,12.64505,34.17,77.38,2022-07-02 19:30:00+05:30,1
2022-07-02 15:00:00,283.937,272.68362,284.04153,283.21738,55761.98,100594.2,0.58908373,0.12064244,5.7490587,0.004779754,3.285706e-06,1.4392334e-06,1.329463e-06,8.477187,0.3008251,48655.01,174.74553,1.329463e-06,0.0047797542065382,0.2072744686156511,1.1138038951903582,0.601310435889085,258.42604947174897,5.7490587,,282.9615783691406,287.955078125,278.2447,289.61844,54.028252919514976,33.49451446533203,27.54094696044922,73.74989318847656,11.253387,34.17,77.38,2022-07-02 20:30:00+05:30,1
